Régime prioritaire;Régime particulier;Type de stationnement;Arrondissement;Nombre places calculées;Nombre places réelles;Zones Résidentielles;Localisation stationnement;Numéro voie;Type voie;Nom voie;Complément numéro voie;Localisation numéro;Parité;Longueur;Largeur;Surface calculée;Signalisation horizontale;Signalisation verticale;Conformité signalisation;Type mobilier;Numéro mobilier;Plage horaire 1-Début;Plage horaire 1-Fin;Plage horaire 2-Début;Plage horaire 2-Fin;Plage horaire 3-Début;Plage horaire 3-Fin;Nouvel identifiant;Ancien identifiant;Code voie Ville de Paris;Numéro séquentiel Tronçon voie;Numéro ilot;Numéro IRIS;Zone ASP;Numéro Section Territoriale de Voirie;Compétence préfecture;Dernière modification;Date du relevé;1er numéro tronçon voie;Dernier numéro tronçon voie;geo_shape;geo_point_2d
LIVRAISON;ZL périodique;Longitudinal;11;1;1;11G;Chaussée;113;RUE;AMELOT;;vis-à-vis;Pair;10.20706291;2.0;20.41427464;Présente;Absente;Conforme;;0;;;;;;;;027211D20070420144832;0274;750606552;;;11Z2;STV Nord-Est;;2019-01-04;2020-08-31;100;104;"{""coordinates"": [2.3674941531082334, 48.86212990012101], ""type"": ""Point""}";48.86212990012101, 2.3674941531082334
LIVRAISON;ZL périodique;Longitudinal;11;1;1;11K;Chaussée;10;RUE DE;CHARONNE;;Droit;Pair;11.97826605;2.0;23.95698384;Présente;Absente;Conforme;;0;;;;;;;;188802D20060515152516;1891;750609929;;;11Z4;STV Nord-Est;;2021-08-17;2020-08-30;10;16;"{""coordinates"": [2.374263607620377, 48.852450734043806], ""type"": ""Point""}";48.852450734043806, 2.374263607620377
LIVRAISON;ZL périodique;Longitudinal;17;1;1;17N;Chaussée;1;RUE;GERVEX;;vis-à-vis;Pair;8.97282327;2.0;17.9456042;Présente;Absente;Conforme;;0;;;;;;;;417801D20070529122445;4127;750598192;;;17ZC;STV Nord-Ouest;;2019-01-04;2020-08-31;2;4;"{""coordinates"": [2.2985468171345036, 48.888320735912494], ""type"": ""Point""}";48.888320735912494, 2.2985468171345036
LIVRAISON;ZL périodique;Longitudinal;16;1;1;16F;Contre allée;20;AV;KLEBER;;Droit;Pair;10.37799242;2.0;20.75604578;Présente;Absente;Conforme;;0;;;;;;;;515903D200509052520;5055;750594648;;;16Z1;STV Sud-Ouest;;2019-01-04;2020-08-31;18;50;"{""coordinates"": [2.2930138037489725, 48.8712075060044], ""type"": ""Point""}";48.8712075060044, 2.2930138037489725
LIVRAISON;ZL permanente;Longitudinal;19;1;1;19K;Chaussée;11;RUE DE;THIONVILLE;;vis-à-vis;Pair;15.16506351;2.0;30.23170618;Présente;Absente;Conforme;;0;;;;;;;;928404D20140228134728;9264;750598079;;;19Z3;STV Nord-Est;;2020-08-31;2020-08-24;14;24;"{""coordinates"": [2.383172779838156, 48.889068254758925], ""type"": ""Point""}";48.889068254758925, 2.383172779838156
LIVRAISON;ZL périodique;Longitudinal;18;1;1;18P;Chaussée;130;RUE;ORDENER;;Droit;Pair;8.85348157;2.0;17.70737396;Présente;Absente;Conforme;;0;;;;;;;;691816D200509052340;6845;750597194;;;18Z5;STV Nord-Ouest;;2020-08-31;2020-08-20;112;130;"{""coordinates"": [2.338766692609061, 48.893335246213525], ""type"": ""Point""}";48.893335246213525, 2.338766692609061
LIVRAISON;ZL périodique;Longitudinal;15;1;1;15F;Chaussée;103;BD DE;GRENELLE;;Droit;Impair;9.51455636;2.0;19.02897678;Abimé;Absente;SH Non-conforme;;0;;;;;;;;431009G20060804103128;4272;1750611080;;;15Z1;STV Sud-Ouest;;2021-09-08;2021-09-08;95;111;"{""coordinates"": [2.2969478459558688, 48.849539176615096], ""type"": ""Point""}";48.849539176615096, 2.2969478459558688
LIVRAISON;ZL permanente;Longitudinal;17;1;1;17N;Chaussée;;RUE;PHILIBERT DELORME;a 50m au nord de l intersection ek nicolas chuquet;Droit;Pair;10.30455812;2.0;20.69333746;Présente;Absente;Conforme;;0;;;;;;;;737302D200509053250;7334;750598151;;;17ZC;STV Nord-Ouest;;2019-01-04;2020-08-31;18;42;"{""coordinates"": [2.302871582490067, 48.88876200808609], ""type"": ""Point""}";48.88876200808609, 2.302871582490067
LIVRAISON;ZL permanente;Longitudinal;20;1;1;20F;Lincoln;11;PL;AUGUSTE METIVIER;;Droit;Impair;7.78058993;2.0;15.56084019;Abimé;Absente;SH Non-conforme;;0;;;;;;;;025801G20081023131344;0534;1750606013;;;20Z1;STV Nord-Est;;2020-08-12;2020-07-25;0;11;"{""coordinates"": [2.3883478283857333, 48.86331989507344], ""type"": ""Point""}";48.86331989507344, 2.3883478283857333
LIVRAISON;ZL périodique;Longitudinal;16;1;1;16J;Chaussée;119;AV;VICTOR HUGO;;Droit;Impair;6.32728109;2.0;12.65462959;Présente;Absente;Conforme;;0;;;;;;;;976110G20061027153410;9761;1750604156;;;16Z2;STV Sud-Ouest;;2019-01-04;2020-08-31;107;131;"{""coordinates"": [2.2820827586487837, 48.86823965758491], ""type"": ""Point""}";48.86823965758491, 2.2820827586487837
LIVRAISON;ZL permanente;Longitudinal;10;1;1;10E;Chaussée;32;RUE DU;BUISSON SAINT-LOUIS;;Droit;Pair;6.76826056;2.0;13.53619092;Présente;Absente;Conforme;;0;;;;;;;;137906D20070612110841;1374;750602415;;;10Z4;STV Centre;;2021-09-03;2021-04-02;32;34;"{""coordinates"": [2.374877947026145, 48.87337767349095], ""type"": ""Point""}";48.87337767349095, 2.374877947026145
LIVRAISON;ZL périodique;Longitudinal;10;1;1;10F;Chaussée;2;RUE;SAINT-LAURENT;;Droit;Pair;9.69445485;2.0;19.39632564;Présente;Absente;Conforme;;0;;;;;;;;867101D200509051510;8894;750601723;;;10Z3;STV Centre;;2019-01-04;2020-08-31;2;10;"{""coordinates"": [2.358897459560535, 48.87545334893743], ""type"": ""Point""}";48.87545334893743, 2.358897459560535
